hidden_dim, num_layers, lr, epochs, number_systems, loss
2, 2, 0.01, 100, 5, 0.0014943466596605503
2, 2, 0.01, 100, 10, 0.0016077898868388728
2, 2, 0.01, 100, 20, 0.0010678114544134588
2, 2, 0.01, 200, 5, 0.0004090838468982838
2, 2, 0.01, 200, 10, 0.0006620935424507479
2, 2, 0.01, 200, 20, 0.00201247845106991
2, 2, 0.01, 500, 5, 0.003308560424193274
2, 2, 0.01, 500, 10, 0.0015908601159026147
2, 2, 0.01, 500, 20, 0.005685105458542239
2, 2, 0.01, 1000, 5, 0.003186655038734898
2, 2, 0.01, 1000, 10, 0.0025172642197503594
2, 2, 0.01, 1000, 20, 0.0003612321052059997
2, 2, 0.005, 100, 5, 0.001110294477257412
2, 2, 0.005, 100, 10, 0.001216757953443448
2, 2, 0.005, 100, 20, 0.0023017508104203445
2, 2, 0.005, 200, 5, 0.001901049435400637
2, 2, 0.005, 200, 10, 0.0029572435130830856
2, 2, 0.005, 200, 20, 0.001028563631916768
2, 2, 0.005, 500, 5, 0.00013448153258650565
2, 2, 0.005, 500, 10, 0.002662570425673039
2, 2, 0.005, 500, 20, 0.0009197822917485609
2, 2, 0.005, 1000, 5, 0.005641401233151555
2, 2, 0.005, 1000, 10, 0.001530381990596652
2, 2, 0.005, 1000, 20, 0.0038709027914592296
2, 2, 0.02, 100, 5, 0.0018775679567625049
2, 2, 0.02, 100, 10, 0.0017271577136853012
2, 2, 0.02, 100, 20, 0.0007093019332387485
2, 2, 0.02, 200, 5, 0.0019393540249438956
2, 2, 0.02, 200, 10, 0.0034922209633805323
2, 2, 0.02, 200, 20, 0.001018855736037949
2, 2, 0.02, 500, 5, 0.0009200409054756165
2, 2, 0.02, 500, 10, 0.0022370790989953092
2, 2, 0.02, 500, 20, 0.0003357738807608257
2, 2, 0.02, 1000, 5, 0.002741852539065803
2, 2, 0.02, 1000, 10, 0.00902502045246365
2, 2, 0.02, 1000, 20, 0.008826671756105497
2, 2, 0.001, 100, 5, 0.00033845389989437533
2, 2, 0.001, 100, 10, 0.008572673951857724
2, 2, 0.001, 100, 20, 0.0006754486748832278
2, 2, 0.001, 200, 5, 0.003902559070047573
2, 2, 0.001, 200, 10, 0.0004027369552204618
2, 2, 0.001, 200, 20, 0.0009128084289841354
2, 2, 0.001, 500, 5, 0.00404968182333505
2, 2, 0.001, 500, 10, 0.0005992199330648873
2, 2, 0.001, 500, 20, 0.0006498286718851886
2, 2, 0.001, 1000, 5, 0.0005620211741188541
2, 2, 0.001, 1000, 10, 0.013469767651258735
2, 2, 0.001, 1000, 20, 0.0010247017935398617
